scorer,,,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
bodyparts,,,Dig1,Dig1,Dig2,Dig2,Dig3,Dig3,Dig4,Dig4,PD,PD
coords,,,x,y,x,y,x,y,x,y,x,y
labeled-data,2023-12-14_10-14-20_1,img001468.png,,,431.7215291123422,293.1300520100321,421.09264805611986,289.79861167897735,409.0360068580169,282.0252509065162,8.78399740828786,322.76630136319477
labeled-data,2023-12-14_10-14-20_1,img002764.png,418.68771809057256,282.5972999867999,403.93419662447286,291.63978088537715,394.89171572589566,288.6256205858514,382.3591544804991,278.9485796242161,,
labeled-data,2023-12-14_10-14-20_1,img003112.png,472.4862616886411,287.5529026862836,455.8290600333673,298.97498382132846,446.46929910326105,296.27810355333173,435.84041804703867,288.50474278087063,,
labeled-data,2023-12-14_10-14-20_1,img005465.png,450.1657547733227,288.09830520141924,435.8881533545166,297.299426115761,424.7833522510007,295.23710591082227,413.0439910844267,287.3051051225967,,
labeled-data,2023-12-14_10-14-20_1,img006507.png,,,414.75391182050913,292.92946671608354,403.68698367037376,289.5836512288333,392.8774259423346,282.3772794101405,,
labeled-data,2023-12-14_10-14-20_1,img008048.png,430.19550976147855,288.8452417307227,417.345668484553,298.68092270812247,405.4476673022146,295.3494823770677,395.2947062932858,287.8934016361356,7.991873257554239,323.0131097354565
labeled-data,2023-12-14_10-14-20_1,img017475.png,440.37232101384143,288.37498210690944,424.72691408975857,298.3489290210122,414.9485347622068,294.63314487654253,403.4100471556957,287.3971441741542,8.576755926494627,322.6846079694963
labeled-data,2023-12-14_10-14-20_1,img019616.png,396.84501915310193,285.83720374943476,378.2810121777194,297.89175373344943,367.9140991914668,293.3110247395239,356.582822206493,284.63174875103334,,
labeled-data,2023-12-14_10-14-20_1,img019828.png,462.0625404735089,286.05767899651795,449.043626490773,294.7369549850085,437.95344050547953,293.53149998660706,423.24688952498167,283.16458700035446,9.584270023093794,322.1383568508747
labeled-data,2023-12-14_10-14-20_1,img021550.png,,,439.4701411128127,294.84889101872864,428.5239800250613,291.35881067190934,419.9574191737777,280.412649584158,,
labeled-data,2023-12-14_10-14-20_1,img021713.png,,,448.2542703939199,294.9514493101702,436.8321892588749,292.73048908946697,426.20330820265264,285.27440834853485,,
labeled-data,2023-12-14_10-14-20_1,img023661.png,455.7264049157442,291.3956239861145,439.5451233077639,300.4381048846917,429.07488226730607,297.423944585166,418.9219212583772,289.33330378117586,,
labeled-data,2023-12-14_10-14-20_1,img026516.png,442.9895016969166,291.83358817026124,426.17366002587823,299.60694894272234,415.7034189854204,298.0205487850772,405.23317794496256,289.61262794955803,,
labeled-data,2023-12-14_10-14-20_1,img028455.png,,,361.0142488047072,293.13309235213103,353.08224801648157,289.4843719895473,344.83296719672694,279.01413094908946,,
labeled-data,2023-12-14_10-14-20_1,img030329.png,397.41792505800163,285.15948047510614,380.7946802011636,293.1777515236986,372.189706392918,289.65753496578,360.65121878640696,280.8569935709834,,
labeled-data,2023-12-14_10-14-20_1,img030833.png,435.9085004000125,289.42496423480094,420.6542286490317,298.61664080269964,409.89801138872474,296.2698297640872,399.33736171496884,287.66485595584163,,
labeled-data,2023-12-14_10-14-20_1,img032243.png,434.2474650561347,288.7161033525427,412.73503053552076,298.88561785319655,403.7389215541731,296.5388068145841,393.5694070535193,287.5426978332365,,
labeled-data,2023-12-14_10-14-20_1,img032262.png,433.29813148108724,287.7398052280556,414.13250799908576,299.0827252480157,403.5718583253298,294.9758059304439,395.3580196901863,288.32650798770874,,
labeled-data,2023-12-14_10-14-20_1,img032860.png,380.10909549040025,289.5539739073744,359.7700664890926,297.1811097828648,351.5562278539491,292.878622878742,344.71136232466284,282.3179732049861,,
labeled-data,2023-12-14_10-14-20_1,img034190.png,,,433.02729233687074,290.9932768606413,423.44448059587,289.0376009951309,413.66610126831824,280.8237623599874,,
labeled-data,2023-12-14_10-14-20_1,img034673.png,448.16912716093907,286.94996879379664,432.73930318140026,297.55797277972954,423.09566319418855,295.6292447822872,412.00547720889506,287.6732417928375,,
labeled-data,2023-12-14_10-14-20_1,img041247.png,490.592049218086,283.30424732005446,478.77859023375163,292.70679630758593,467.20622224909755,291.74243230886475,454.18730826636175,283.78642931941505,,
labeled-data,2023-12-14_10-14-20_1,img041568.png,483.93102745030774,280.8767387729806,471.3942954669325,294.1367437553967,460.7862914809996,291.9669247582741,447.5262864985835,284.7341947678653,,
labeled-data,2023-12-14_10-14-20_1,img041696.png,,,444.88638125415946,294.51848098157507,435.00165026726745,293.7952079825342,421.500554285171,282.46393099756045,,
labeled-data,2023-12-14_10-14-20_1,img046962.png,442.14126356785835,288.72078983826236,427.4347125873605,298.84661182483467,417.54998160046847,294.98915582994994,405.4954316164538,287.5153348398609,9.174122954501383,322.75495055458885
labeled-data,2023-12-14_10-14-20_1,img047521.png,436.0275627793501,288.21099850522444,422.38693040825297,298.2484449669751,412.8642247906946,294.7739442686768,401.1538705853188,287.8249428720802,9.50329915271502,322.0878672815947
labeled-data,2023-12-14_10-14-20_1,img050958.png,,,416.1800749116934,296.82681752387464,406.6616739658226,294.12993725587796,393.0186326100745,286.9911365464749,,
labeled-data,2023-12-14_10-14-20_1,img051072.png,404.916633792413,294.12993725587796,387.7835120898456,301.90329802833907,377.6305510809168,297.93729763422624,369.3812702611622,289.3707367829426,,
labeled-data,2023-12-14_10-14-20_1,img054384.png,439.8270617830466,284.39809267551544,424.75626028541785,295.3442537632668,412.6996190873149,292.4887334795056,401.1188979365055,282.01849243904775,,
labeled-data,2023-12-14_10-14-20_1,img056647.png,436.49562145199184,283.7635326124574,421.9007400016567,293.4405735740927,412.22369904002136,292.17145344797655,396.0424174320411,282.1771324548123,,
labeled-data,2023-12-14_10-14-20_1,img057698.png,,,416.4357153960815,281.5718526290388,405.1722742768011,277.605852234926,395.0193132678723,269.8324914624649,,
labeled-data,2023-12-14_10-14-20_1,img058963.png,441.7525665935301,293.2672159787406,421.4466445756725,300.8819367354372,412.40416367709526,301.3578567827307,398.76112232134716,291.04625575803743,,
labeled-data,2023-12-14_10-14-20_1,img061057.png,,,406.5884927378473,287.4272997636458,394.84913157127335,285.2063395429426,382.31657032587685,277.908898817775,,
labeled-data,2023-12-14_10-14-20_1,img068412.png,446.4173034437971,285.489556123821,431.5051419619329,293.7388369435757,420.40034085841705,291.04195667557894,407.07457953419794,283.1099558873533,,
